City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Atambua,ID,2021-12-02 09:13:45,-9.1061,124.8925,81.75,74,70,3.24
223,Acapulco,MX,2021-12-02 09:13:46,16.8634,-99.8901,76.03,83,0,3.49
224,Touros,BR,2021-12-02 09:13:46,-5.1989,-35.4608,79.7,72,100,10.07
225,Sao Filipe,CV,2021-12-02 09:13:47,14.8961,-24.4956,74.37,67,100,12.46
226,Narsaq,GL,2021-12-02 09:13:47,60.9167,-46.05,26.31,97,100,5.61
227,Upata,VE,2021-12-02 09:13:48,8.0086,-62.3989,70.92,93,100,3.69
228,Baghmara,IN,2021-12-02 09:13:49,23.795,86.2085,80.87,32,3,3.13
229,Sao Joao Da Barra,BR,2021-12-02 09:13:49,-21.6403,-41.0511,71.87,94,12,9.78
230,Airai,TL,2021-12-02 09:14:50,-8.9266,125.4092,67.62,83,76,1.66
231,Beloha,MG,2021-12-02 09:14:51,-25.1667,45.05,100.36,25,0,4.41
232,Alofi,NU,2021-12-02 09:14:51,-19.0595,-169.9187,78.37,81,48,11.97
233,Novikovo,RU,2021-12-02 09:14:52,51.1537,37.8879,30.97,62,51,12.44
234,Muroto,JP,2021-12-02 09:14:52,33.2833,134.15,51.51,63,3,10.49
235,Mayumba,GA,2021-12-02 09:14:53,-3.432,10.6554,79.97,82,97,5.84
236,Datong,CN,2021-12-02 09:14:54,40.0936,113.2914,30.42,42,6,9.26
237,San Quintin,MX,2021-12-02 09:14:54,30.4833,-115.95,59.18,83,0,4.16
238,Surazh,RU,2021-12-02 09:14:55,53.0175,32.3918,29.08,96,100,18.97
239,Ancud,CL,2021-12-02 09:14:57,-41.8697,-73.8203,38.73,77,43,5.32
240,Thunder Bay,CA,2021-12-02 09:14:11,48.4001,-89.3168,37.56,84,90,11.5
241,Krasnoselkup,RU,2021-12-02 09:14:58,65.7,82.4667,7.34,95,100,18.41
242,Coruripe,BR,2021-12-02 09:14:59,-10.1256,-36.1756,76.78,83,100,7.56
243,Ribeira Grande,PT,2021-12-02 09:14:59,38.5167,-28.7,57.6,88,20,8.05
244,George Town,MY,2021-12-02 09:11:29,5.4112,100.3354,81.9,81,40,3.44
245,Arrifes,PT,2021-12-02 09:15:01,37.7667,-25.7,60.24,88,75,5.75
