City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
525,Georgiyevka,KZ,43.0369,74.7114,35.64,100,90,4.47,light intensity drizzle
526,Concarneau,FR,47.875,-3.9225,45.39,73,100,19.71,overcast clouds
527,Illela,NG,13.7292,5.2975,71.8,15,5,9.42,clear sky
528,Catuday,PH,16.2923,119.8062,76.53,63,46,15.12,scattered clouds
529,Aykhal,RU,66.0,111.5,-24.59,100,100,5.44,overcast clouds
530,Alekseyevsk,RU,57.8406,108.3492,21.74,87,100,12.35,overcast clouds
531,Gerash,IR,27.6652,54.1371,46.54,49,21,0.96,few clouds
532,Sabha,LY,27.0377,14.4283,47.73,44,45,5.14,scattered clouds
533,Mogadishu,SO,2.0371,45.3438,79.16,74,100,16.11,overcast clouds
534,Ushtobe,KZ,45.2514,77.9838,36.57,69,54,7.76,broken clouds
535,Kamennomostskoye,RU,43.7372,43.0514,31.08,33,97,6.93,overcast clouds
536,San Jose Iturbide,MX,21.0,-100.3833,67.51,48,7,7.14,clear sky
537,Goundam,ML,16.4145,-3.6708,73.33,15,81,11.18,broken clouds
538,Mareeba,AU,-17.0,145.4333,90.45,48,16,8.05,few clouds
539,Saint-Augustin,CA,51.226,-58.6502,21.63,58,10,18.23,clear sky
540,Pinczow,PL,50.5205,20.5265,36.61,70,100,5.23,overcast clouds
541,Aliwal North,ZA,-30.6937,26.7114,58.35,89,36,3.24,scattered clouds
542,Karratha,AU,-20.7377,116.8463,99.55,19,87,17.13,overcast clouds
543,Male,MV,4.1748,73.5089,82.56,74,12,11.72,few clouds
544,Dawlatabad,AF,36.4141,64.9053,41.2,84,14,3.18,few clouds
545,Alihe,CN,50.5667,123.7167,13.32,87,100,1.28,overcast clouds
546,Plettenberg Bay,ZA,-34.0527,23.3716,62.55,96,100,16.89,light rain
547,Margate,GB,51.3813,1.3862,42.51,79,100,1.99,overcast clouds
548,Karasburg,NA,-28.0167,18.75,54.14,71,0,11.61,clear sky
549,Bambanglipuro,ID,-7.95,110.2833,66.6,80,100,4.52,light rain
550,Rondonopolis,BR,-16.4708,-54.6356,76.48,86,30,1.1,scattered clouds
551,Kizilskoye,RU,52.7255,58.8937,28.49,79,94,15.9,overcast clouds
552,Nanortalik,GL,60.1432,-45.2371,34.93,98,100,16.69,moderate rain
553,Kudahuvadhoo,MV,2.6708,72.8944,82.26,77,9,12.93,clear sky
554,Wadi Musa,JO,30.3222,35.4793,54.25,37,91,6.29,overcast clouds
555,Tchollire,CM,8.4022,14.1698,75.6,33,100,1.68,overcast clouds
556,El Cope,PA,8.6167,-80.6,69.26,92,100,6.26,overcast clouds
557,Lowestoft,GB,52.4752,1.7516,39.92,93,70,12.53,broken clouds
558,Reforma,MX,18.1,-91.0167,76.3,75,88,7.09,overcast clouds
559,Novovasylivka,UA,46.8315,35.7536,38.03,91,100,10.6,overcast clouds
560,Den Helder,NL,52.9599,4.7593,44.58,93,75,8.01,broken clouds
561,Corinth,GR,37.9407,22.9573,56.44,87,0,5.32,clear sky
562,Keetmanshoop,NA,-26.5833,18.1333,55.24,65,0,9.42,clear sky
563,Lar,IN,26.2039,83.9717,66.67,58,4,5.12,clear sky
564,Kulunda,RU,52.566,78.9385,29.01,95,100,6.69,overcast clouds
565,Soke,ML,13.598,-5.9386,75.22,15,42,9.15,scattered clouds
566,Yuncheng,CN,35.0231,110.9928,41.7,44,0,1.48,clear sky
567,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.59,50,99,8.84,overcast clouds
568,Buraydah,SA,26.326,43.975,55.85,44,2,9.37,clear sky
569,Kargasok,RU,59.0556,80.8572,22.19,95,100,11.01,light snow
570,Leua,SK,48.2156,18.6071,35.49,83,100,10.63,snow
571,Mandan,US,46.8267,-100.8896,27.03,94,90,16.11,snow
572,Shache,CN,38.4167,77.2406,24.76,41,0,2.3,clear sky
573,Yangambi,CD,0.8102,24.4336,70.57,99,100,2.28,light rain
574,Bonthe,SL,7.5264,-12.505,79.7,83,57,5.19,broken clouds
575,Harper,LR,4.375,-7.7169,79.32,83,16,6.53,few clouds
576,Raudeberg,NO,61.9875,5.1352,36.27,95,100,1.01,light snow
577,Watsa,CD,3.0372,29.5355,65.91,90,87,1.7,overcast clouds
578,Nalut,LY,30.3333,10.85,44.6,49,0,4.81,clear sky
579,Susanville,US,40.4163,-120.653,51.64,54,1,0.0,clear sky
580,Laramie,US,41.3114,-105.5911,51.89,28,1,4.0,clear sky
581,La Ronge,CA,55.1001,-105.2842,-0.15,71,90,4.61,overcast clouds
582,Lamin,GM,13.3522,-16.4339,73.51,64,100,6.62,overcast clouds
583,Warri,NG,5.5167,5.75,79.16,85,100,3.27,overcast clouds
584,Hambantota,LK,6.1241,81.1185,77.11,86,65,4.63,broken clouds
585,Jutai,BR,-5.1833,-68.9,74.07,97,100,2.08,overcast clouds
586,Tres Picos,MX,15.8667,-93.5333,79.52,72,0,6.46,clear sky
587,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.64,99,86,1.25,overcast clouds
588,Dzhebariki-Khaya,RU,62.2167,135.8,-13.05,98,100,0.98,overcast clouds
589,Hobyo,SO,5.3505,48.5268,78.17,75,71,15.75,broken clouds
590,Saarbrucken,DE,49.2333,7.0,40.8,88,75,13.8,broken clouds
591,Araouane,ML,18.9048,-3.5265,64.85,18,56,12.46,broken clouds
592,Luocheng,CN,29.3848,104.0286,54.73,69,100,1.25,overcast clouds
593,Nordfjordeid,NO,61.9063,5.9915,37.35,82,100,4.65,light rain
594,Ochakiv,UA,46.6128,31.5498,33.94,85,61,6.85,broken clouds
595,Xixiang,CN,35.1628,112.865,46.38,34,0,4.83,clear sky
596,Tokur,RU,53.1333,132.9,-1.43,93,100,4.25,overcast clouds
597,Hauterive,FR,46.0901,3.4459,41.76,89,88,6.67,overcast clouds
598,Takaungu,KE,-3.6837,39.8566,77.18,84,2,3.91,light rain
599,Quatre Cocos,MU,-20.2078,57.7625,77.11,71,21,10.65,few clouds
600,Kota Tinggi,MY,1.7381,103.8999,80.64,85,100,7.07,light rain
601,West Bay,KY,19.3667,-81.4167,80.67,82,20,1.99,few clouds
602,Faribault,US,44.295,-93.2688,32.43,62,75,0.0,light snow
603,Coihaique,CL,-45.5752,-72.0662,60.75,55,40,9.22,scattered clouds
604,Katakwi,UG,1.8911,33.9661,68.14,66,12,5.17,few clouds
605,Sibiti,CG,-3.6819,13.3499,69.31,98,100,1.54,overcast clouds
606,Devrek,TR,41.2192,31.9558,52.39,94,98,0.47,overcast clouds
607,Gamba,GA,-2.65,10.0,77.32,92,100,7.02,overcast clouds
608,Otane,NZ,-39.8833,176.6333,78.42,43,86,7.9,overcast clouds
609,Halifax,CA,44.6453,-63.5724,28.45,74,82,1.01,broken clouds
610,Sala,MA,34.0389,-6.8166,53.64,100,27,0.0,scattered clouds
611,Bonavista,CA,48.6499,-53.1147,30.11,61,100,26.42,overcast clouds
612,Balarampur,IN,23.1167,86.2167,66.61,85,92,2.8,overcast clouds
613,Channel-Port Aux Basques,CA,47.5702,-59.1367,32.95,55,100,24.87,overcast clouds
614,Tommot,RU,58.9564,126.2925,23.65,86,100,9.48,overcast clouds
615,Gambo,CF,4.6482,22.2633,69.13,92,48,0.72,scattered clouds
616,North Bend,US,43.4065,-124.2243,52.92,91,90,10.36,overcast clouds
617,Guaruja,BR,-23.9931,-46.2564,78.91,26,41,9.78,scattered clouds
618,Caala,AO,-12.8525,15.5606,61.61,92,100,1.43,light rain
619,Jasper,US,37.2001,-94.3502,59.68,47,90,9.22,overcast clouds
620,Varberg,SE,57.1056,12.2508,32.13,89,100,18.37,overcast clouds
621,Eyemouth,GB,55.8713,-2.0901,42.84,75,100,32.26,light rain
622,Kongoussi,BF,13.3258,-1.5347,75.25,14,62,6.85,broken clouds
623,Taoudenni,ML,22.6783,-3.9836,56.82,21,1,12.46,clear sky
624,Mikkeli,FI,61.6886,27.2723,-2.09,84,0,3.44,clear sky
625,Digby,CA,44.6169,-65.7655,31.51,56,12,6.8,few clouds
626,Labuhan,ID,-6.8844,112.2051,81.03,77,98,9.06,overcast clouds
627,Avera,US,33.194,-82.5271,62.71,76,98,5.35,overcast clouds
628,Viransehir,TR,37.2353,39.7631,48.36,42,100,7.25,overcast clouds
629,Nemuro,JP,43.3236,145.575,32.43,59,31,20.36,scattered clouds
630,Lazaro Cardenas,MX,17.9583,-102.2,78.22,77,77,5.26,broken clouds
631,Bud,US,39.447,-86.1758,41.32,68,0,6.93,clear sky
